date,port01,port02,port03,port04,port05,port06,port07,port08,port09,port10,portLS
1970-03-02,3.1447,NA,NA,2.2989,NA,NA,-0.2421,NA,NA,-0.8,-3.9447
1970-03-03,0,NA,NA,2.2472,NA,NA,-2.4272,NA,NA,-2.4194,-2.4194
1970-03-04,0.6098,NA,NA,-1.3736,NA,NA,0,NA,NA,0,-0.6098
1970-03-05,0.6061,NA,NA,0,NA,NA,-2.4876,NA,NA,0,-0.6061
1970-03-06,-0.6024,NA,NA,-1.6713,NA,NA,-3.8265,NA,NA,0.8264,1.4288
1970-03-09,-1.8182,NA,NA,0.2833,NA,NA,0.2653,NA,NA,-0.4098,1.4084
1970-03-10,-1.2346,NA,NA,-0.8475,NA,NA,1.3298,NA,NA,0.4115,1.6461
1970-03-11,0,NA,NA,-0.2849,NA,NA,1.0499,NA,NA,0,0
1970-03-12,-0.625,NA,NA,-0.5714,NA,NA,-2.8571,NA,NA,1.2295,1.8545
1970-03-13,0,NA,NA,0.2874,NA,NA,-3.2086,NA,NA,-0.8097,-0.8097
1970-03-16,0,NA,NA,0.2865,NA,NA,-1.105,NA,NA,0.4082,0.4082
1970-03-17,0,NA,NA,-0.5714,NA,NA,0.5587,NA,NA,-1.626,-1.626
1970-03-18,0,NA,NA,-1.4368,NA,NA,1.1111,NA,NA,-4.9587,-4.9587
1970-03-19,-2.5157,NA,NA,-2.3324,NA,NA,-1.6484,NA,NA,0.4348,2.9505
1970-03-20,-1.2903,NA,NA,-0.2985,NA,NA,1.1173,NA,NA,3.8961,5.1864
1970-03-23,0.6536,NA,NA,0.5988,NA,NA,-1.105,NA,NA,2.9167,2.2631
1970-03-24,0.6494,NA,NA,-1.1905,NA,NA,-1.676,NA,NA,1.6194,0.97
1970-03-25,2.0645,NA,NA,-2.7108,NA,NA,6.8182,NA,NA,1.5936,-0.4709
1970-03-26,-0.6369,NA,NA,-0.6192,NA,NA,0.7979,NA,NA,0,0.6369
1970-03-30,-1.2821,NA,NA,-0.3115,NA,NA,0.2639,NA,NA,0,1.2821
1970-03-31,-0.6494,NA,NA,0.9375,NA,NA,0,NA,NA,-2.3529,-1.7035
1970-04-01,0.6536,NA,1.8576,NA,-3.125,NA,-0.5263,NA,0.8032,0,-0.6536
1970-04-02,-1.9481,NA,0.9119,NA,0,NA,-2.381,NA,-0.3984,-1.4706,0.4775
1970-04-03,-3.3113,NA,-0.6024,NA,3.2258,NA,-1.084,NA,-1.2,1.4925,4.8038
1970-04-06,-2.7397,NA,-2.4242,NA,14.0625,NA,-1.3699,NA,-1.2146,5.8824,8.6221
1970-04-07,0,NA,1.5528,NA,-1.0274,NA,0,NA,-1.2295,-4.1667,-4.1667
1970-04-08,-2.8169,NA,-1.5291,NA,-1.7301,NA,-5,NA,-0.4149,-1.4493,1.3676
1970-04-09,-1.4493,NA,-0.9317,NA,-0.7042,NA,0.5848,NA,0,1.4706,2.9199
1970-04-10,-2.9412,NA,0.3135,NA,2.4823,NA,0.2907,NA,-1.6667,0,2.9412
1970-04-13,-0.7576,NA,-0.625,NA,-2.0761,NA,-0.2899,NA,-1.6949,-1.4493,-0.6917
1970-04-14,-0.7634,NA,-0.3145,NA,-0.7067,NA,-2.0349,NA,0,-2.9412,-2.1778
1970-04-15,0,NA,0.6309,NA,1.0676,NA,0,NA,1.2931,-1.5152,-1.5152
1970-04-16,-14.6154,NA,-0.9404,NA,-1.0563,NA,-1.1869,NA,-0.4255,1.5385,16.1539
1970-04-17,10.8108,NA,0.6329,NA,0,NA,-1.5015,NA,-4.2735,-1.5152,-12.326
1970-04-20,3.252,NA,-2.5157,NA,-3.9146,NA,0,NA,0,6.1539,2.9019
1970-04-21,-3.1496,NA,-1.2903,NA,-4.0741,NA,-0.6098,NA,-3.125,-4.3478,-1.1982
1970-04-22,-4.8781,NA,-3.268,NA,-1.1583,NA,-1.227,NA,-5.53,0,4.8781
1970-04-23,-0.8547,NA,-4.7297,NA,-2.3438,NA,-1.8634,NA,-1.4634,-3.0303,-2.1756
1970-04-24,-1.7241,NA,-0.7092,NA,0.8,NA,-4.7468,NA,-3.4654,-3.125,-1.4009
1970-04-27,-1.7544,NA,-4.6429,NA,-3.1746,NA,-9.3023,NA,4.1026,-1.6129,0.1415
1970-04-28,0,NA,0.7605,NA,1.2295,NA,-1.4652,NA,1.4778,-1.6393,-1.6393
1970-04-29,6.25,NA,-0.3774,NA,0.8097,NA,4.0892,NA,3.8835,1.6667,-4.5833
1970-04-30,-2.521,NA,2.2727,NA,2.8113,NA,2.8571,NA,0,0,2.521
1970-05-01,-0.8621,0,NA,0.7407,NA,0.9346,0,NA,-1.5625,-1.6304,-0.7683
1970-05-04,-2.6087,0.3472,NA,-2.9412,NA,-5.5556,0,NA,-3.1746,-1.6575,0.9512
1970-05-05,0.8929,1.3841,NA,0,NA,0.4902,-1.6393,NA,-1.2295,-1.1236,-2.0165
1970-05-06,4.4248,4.4369,NA,-1.1364,NA,-0.4878,0,NA,3.7344,-0.5682,-4.993
1970-05-07,-1.6949,1.634,NA,1.1494,NA,-1.4706,1.6667,NA,-0.8,1.4286,3.1235
1970-05-08,1.7241,0.6431,NA,0,NA,0,-1.6393,NA,-1.6129,-0.5634,-2.2875
1970-05-11,-3.3898,-0.3195,NA,-1.8939,NA,0.4975,0,NA,-0.8197,-1.983,1.4068
1970-05-12,-1.7544,-2.5641,NA,0.7722,NA,0,-3.3333,NA,2.4793,-1.1561,0.5983
1970-05-13,0,-2.9605,NA,-0.3831,NA,-0.9901,-6.8966,NA,-4.4355,1.462,1.462
1970-05-14,0.8929,-2.3729,NA,0,NA,-5,-1.8519,NA,-5.0633,-2.5937,-3.4866
1970-05-15,-0.885,1.3889,NA,0,NA,2.1053,1.8868,NA,3.1111,3.5503,4.4353
1970-05-18,0.8929,-1.3699,NA,1.5385,NA,-3.0928,-3.7037,NA,-2.5862,-0.2857,-1.1786
1970-05-19,-3.5398,-2.4306,NA,-3.0303,NA,-5.8511,-1.9231,NA,0,-0.2865,3.2533
1970-05-20,-0.9174,-2.1352,NA,-1.9531,NA,-2.8249,-3.9216,NA,-2.6549,-0.2874,0.63
1970-05-21,-1.8519,-1.0909,NA,-0.7968,NA,-10.4651,-8.1633,NA,-8.6364,0.2882,2.1401
1970-05-22,-2.8302,-0.7353,NA,4.0161,NA,9.7403,4.4444,NA,-0.4975,1.4368,4.267
1970-05-25,-6.7961,-8.1482,NA,-3.861,NA,-7.1006,-2.1277,NA,-4,0,6.7961
1970-05-26,-5.2083,-1.6129,NA,0,NA,1.1465,-4.3478,NA,-9.375,-0.8499,4.3584
1970-05-27,9.8901,-0.4098,NA,1.2048,NA,10.2564,9.0909,NA,12.069,-1.7143,-11.6044
